Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
99 ,Rescue Me,Bell Book & Candle,https://www.youtube.com/watch?v=92rbex84o8A,0eb32cd198b3b9665a39ac9984fc62e3fe78507a9882f50e65fd35ef3cf0d3f2,Bell Book & Candle - Rescue me (Radio Edit),2000 
100 ,Ein Festival der Liebe,Jürgen Marcus,https://www.youtube.com/watch?v=OCgA2s87tu4,4cadb7e1febff59021460f9e50f2279fb849332b4ec46cbbd98b20c958dcaf89,Ein Festival der Liebe,2008 
101 ,TiK ToK,Kesha,https://www.youtube.com/watch?v=OF04pKp-r9o,9b4ebd0f536f353094f8110e8efc182dcb89a6ba4a108f2665ac40f1c5667cfc,Kesha - TiK ToK (Lyrics),2010 
102 ,Livin' On A Prayer,Bon Jovi,https://www.youtube.com/watch?v=lDK9QqIzhwk,6a82e41cafdb4ac32fd7635c333b58711a1c9bbe15d20bf744feda4fd7ab2f0a,Bon Jovi - Livin' On A Prayer,1986 
103 ,Symphonie,Silbermond,https://www.youtube.com/watch?v=8bNHTgVhdYM,33d775ab35de153b0fedea90fef47634c4ee29b43cb5605e40965fbd2801a066,Symphonie,2004 
104 ,Weather With You,Crowded House,https://www.youtube.com/watch?v=ag8XcMG1EX4,b17fd0da8e5e41cc8366f6a71cfd7e023d09798a1e966bb40dbf5fa97a8ba8b3,Crowded House - Weather With You,1991 
105 ,Downtown,Petula Clark,https://www.youtube.com/watch?v=z_m4Qb0iW-o,41ed5e7ec922aafe38ba509caab8143a62c59b2aebb33f8d54d9b42a816d73ba,Petula Clark ~ Downtown (1964),2003 
106 ,Felicità,Al Bano And Romina Power,https://www.youtube.com/watch?v=YWu4Uz2sqlw,c7285b0c01cc40c7080330714d393ba0ecf410616847421425e1365a7c6fffa4,"Al Bano, Romina Power - Felicità (High-Quality Audio)",1982 
107 ,Ich bin nicht mehr dein Clown,Olaf Henning,https://www.youtube.com/watch?v=uFjWa1qGe0w,0aef147e9a6d417e8ee7a0dfd7c623db89ddc09b16267c5edab19217b56ccc8b,Olaf Henning- Ich bin nicht mehr dein Clown,2005 
108 ,9 to 5,Dolly Parton,https://www.youtube.com/watch?v=UbxUSsFXYo4,571ae918dbd7194b46ac4daeef9deb6c8c07f842f22071b6cac34a120f07dbb6,Dolly Parton - 9 To 5,1980 
109 ,Don't Worry Be Happy,Bobby McFerrin,https://www.youtube.com/watch?v=68vZX2uUKKA,1413763997f06fb2535fa87c4d85d8c51ff311ec30b7a9cabb25994ebb39a39a,Bobby McFerrin - Don't Worry Be Happy (Lyrics),1997 
110 ,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,https://www.youtube.com/watch?v=4ZShJG5N050,fcd29bb5c031e353bf72363372a546f15ddbb1b562823453a48825e9d29c147e,"I Can't Help Myself (Sugar Pie, Honey Bunch)",1965 
111 ,Joy To The World,Three Dog Night,https://www.youtube.com/watch?v=EVcpKjXYa5c,8301332818f07fc5808155e388effa1a412bb48c7bf5af1bf4348ad74475a706,Joy To The World,1970 
112 ,Made You Look,Meghan Trainor,https://www.youtube.com/watch?v=xHTRpQi1GSc,61d59960b0b113a2214d63ec2377146ef7fd94abf18caef50b94655c1f69de86,Meghan Trainor - Made You Look (Lyrics),2022 
113 ,Keeping Your Head Up,Birdy,https://www.youtube.com/watch?v=m8AXUq5uA0Y,4cb1be55f441dd2010278f24caa78d6629f2cceee58b8c2c1109d4dec591ff04,Birdy - Keeping Your Head Up (Official Music Video),2016 
114 ,Liebeskummer Lohnt Sich Nicht,Siw Malmkvist,https://www.youtube.com/watch?v=ju2fedOZw_U,9f064b36b46cb9e59fe9018e9f698f969922075bfb49c1c192fea638985042bb,Siw Malmquist - Liebeskummer lohnt sich nicht 1964,1983 
115 ,Levitating,Dua Lipa,https://www.youtube.com/watch?v=WHuBW3qKm9g,d4913e72231e87ecc03db00fd9fef4a756f6e34f6c62d25fc63a447b3a31c053,Dua Lipa - Levitating (Official Lyrics Video),2020 
116 ,Beiß nicht gleich in jeden Apfel,Wencke Myhre,https://www.youtube.com/watch?v=jUWTXq_mMjU,e1a7e4ef3948f7b2ab25471b95ffbcba49b3e15e60f6ff85fb170240ba815a59,Beiß nicht gleich in jeden Apfel,1999 
117 ,Ein Stern,DJ Ötzi Nik P,https://www.youtube.com/watch?v=_JHURvbOAIw,dde7b42438620692dfb66c03238e97cc2c1b8d500b4b5da8c335c5a0b74ac26c,Ein Stern (der deinen Namen trägt),2007 
118 ,Just the Way You Are,Bruno Mars,https://www.youtube.com/watch?v=u7XjPmN-tHw,f287898eb707bb169583dfb3eaeff9cfc252ad29c5fbc8bf9905a5733bbc9443,Bruno Mars - Just The Way You Are (Lyrics),2010 
